機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026/3/5
測試時間,21:57:19
照度E(lx),188.49
照度E(fc),17.51
相關色溫(K),7759
黑體距離Duv,-0.0142
CIE x,0.3034
CIE y,0.2879
CIE u,0.2075
CIE v,0.2954
CIE u',0.2075
CIE v',0.4431
色差,25.78
顯色指數Ra,19.1
R1,-12
R2,31
R3,78
R4,18
R5,14
R6,25
R7,44
R8,-45
R9,-100
R10,-34
R11,15
R12,20
R13,-6
R14,80
R15,-32
輻照度Ee(mW/c㎡),0.079
明暗視覺比S/P,3.383
主波長(nm),463.7
色純度(%),15.3
半寬度(nm),12.9
峰值波長(nm),629.1
中心波長(nm),628.3
質心波長(nm),539.9
紅色比(%),30.2
綠色比(%),56.9
藍色比(%),12.9
CIE1931 X,290.838
CIE1931 Y,275.97
CIE1931 Z,391.774
TLCI-2012,20
積分時間(ms),310
峰值信號,57864
暗信號,2442
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.001901
381,0.001327
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0.000064
427,0.000413
428,0.000716
429,0.004527
430,0.004539
431,0.005919
432,0.006264
433,0.010028
434,0.01981
435,0.031814
436,0.046707
437,0.062976
438,0.079762
439,0.104474
440,0.136934
441,0.178537
442,0.223003
443,0.275203
444,0.331238
445,0.403638
446,0.497074
447,0.609102
448,0.757055
449,0.924848
450,1.106487
451,1.335848
452,1.566567
453,1.84297
454,2.154638
455,2.528836
456,2.973462
457,3.487436
458,4.082222
459,4.765563
460,5.564079
461,6.473791
462,7.511857
463,8.672392
464,9.927345
465,11.202282
466,12.439427
467,13.593775
468,14.502873
469,14.972891
470,15.041338
471,14.739288
472,14.295404
473,13.585906
474,12.571212
475,11.466253
476,10.347969
477,9.32333
478,8.427051
479,7.675213
480,7.051771
481,6.509305
482,6.039799
483,5.618916
484,5.233713
485,4.871224
486,4.506706
487,4.140774
488,3.778671
489,3.420634
490,3.085274
491,2.768756
492,2.473376
493,2.211932
494,1.989372
495,1.797786
496,1.63634
497,1.502766
498,1.400144
499,1.321927
500,1.264726
501,1.227534
502,1.203258
503,1.191517
504,1.192958
505,1.212748
506,1.249411
507,1.304443
508,1.378495
509,1.477502
510,1.6013
511,1.758477
512,1.946033
