機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,22:00:57
照度E(lx),161.94
燭光E(fc),15.04
相關色溫(K),7366
黑體偏離Duv,0.00757
CIE x,0.2990
CIE y,0.3236
CIE u,0.1903
CIE v,0.3089
CIE u',0.1903
CIE v',0.4633
色容差,9.98
顯色指數Ra,42.6
R1,22
R2,58
R3,78
R4,45
R5,47
R6,55
R7,50
R8,-16
R9,-100
R10,23
R11,48
R12,58
R13,28
R14,81
R15,4
輻照度Ee(mW/c㎡),0.061
明暗視覺比S/P,3.157
主波長(nm),488.00
色純度(%),12.3
半寬度(nm),12.7
峰值波長(nm),629.8
中心波長(nm),628.4
質心波長(nm),540.2
紅色比(%),25.5
綠色比(%),64.0
藍色比(%),10.5
CIE1931 X,219.085
CIE1931 Y,237.098
CIE1931 Z,276.605
TLCI-2012,21
積分時間(ms),390.00
峰值信號,53358
暗信號,2600
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.003010,
381,0.002607,
382,0.000740,
383,0.000581,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000040,
429,0.002370,
430,0.002522,
431,0.002858,
432,0.001342,
433,0.000857,
434,0.003900,
435,0.011280,
436,0.020035,
437,0.031134,
438,0.042083,
439,0.058419,
440,0.079333,
441,0.107282,
442,0.136197,
443,0.173409,
444,0.211941,
445,0.264358,
446,0.327023,
447,0.400378,
448,0.503405,
449,0.628077,
450,0.756115,
451,0.913496,
452,1.065132,
453,1.259024,
454,1.481465,
