機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,22:01:09
照度E(lx),275.50
燭光E(fc),25.59
相關色溫(K),7210
黑體偏離Duv,0.10877
CIE x,0.2465
CIE y,0.5654
CIE u,0.1061
CIE v,0.3651
CIE u',0.1061
CIE v',0.5476
色容差,100.00
顯色指數Ra,42.9
R1,21
R2,40
R3,79
R4,20
R5,26
R6,30
R7,71
R8,57
R9,-56
R10,-16
R11,-2
R12,-9
R13,13
R14,90
R15,28
輻照度Ee(mW/c㎡),0.063
明暗視覺比S/P,2.463
主波長(nm),530.30
色純度(%),49.3
半寬度(nm),25.5
峰值波長(nm),527.7
中心波長(nm),529.1
質心波長(nm),536.5
紅色比(%),6.7
綠色比(%),90.4
藍色比(%),2.8
CIE1931 X,175.839
CIE1931 Y,403.363
CIE1931 Z,134.187
TLCI-2012,37
積分時間(ms),310.00
峰值信號,55697
暗信號,2472
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000340,
430,0.000340,
431,0.000340,
432,0.000085,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000198,
439,0.000496,
440,0.004581,
441,0.013829,
442,0.019997,
443,0.033624,
444,0.043261,
445,0.059704,
446,0.076923,
447,0.094800,
448,0.142796,
449,0.204110,
450,0.256253,
451,0.309885,
452,0.352222,
453,0.428615,
454,0.519657,
455,0.626679,
456,0.752421,
457,0.905156,
458,1.083246,
459,1.300756,
460,1.552569,
461,1.847769,
462,2.178111,
463,2.544842,
464,2.939249,
465,3.346852,
466,3.744911,
467,4.102904,
468,4.384416,
469,4.549429,
470,4.609688,
471,4.545696,
472,4.394646,
473,4.142661,
474,3.784591,
475,3.432184,
476,3.086703,
477,2.773552,
478,2.505056,
479,2.272169,
480,2.077972,
481,1.908123,
482,1.765883,
483,1.648316,
484,1.544967,
485,1.450619,
486,1.357956,
487,1.265609,
488,1.172136,
489,1.085796,
490,1.007583,
491,0.940409,
492,0.885895,
493,0.840181,
494,0.815880,
495,0.804160,
496,0.809691,
497,0.830556,
498,0.871662,
499,0.931278,
500,1.005960,
501,1.101957,
502,1.216768,
503,1.349823,
504,1.507912,
505,1.688642,
506,1.884503,
507,2.137034,
508,2.429106,
509,2.770042,
510,3.158850,
511,3.606338,
512,4.110139,
513,4.677272,
514,5.315028,
515,6.012301,
516,6.779084,
517,7.594164,
518,8.455246,
519,9.331949,
520,10.215607,
521,11.064969,
522,11.872028,
523,12.634378,
524,13.308418,
525,13.853085,
526,14.196294,
527,14.334290,
528,14.276969,
529,14.122602,
530,13.813581,
531,13.405971,
532,12.951459,
533,12.438457,
534,11.861033,
535,11.232055,
536,10.529636,
537,9.832037,
538,9.186234,
539,8.581554,
540,8.024748,
541,7.501846,
542,7.048123,
543,6.640923,
544,6.316774,
545,5.967938,
546,5.637194,
547,5.333880,
548,5.047393,
549,4.765282,
550,4.486454,
551,4.204669,
552,3.927256,
553,3.656992,
554,3.396837,
555,3.173350,
556,2.927007,
557,2.691908,
558,2.468984,
559,2.256914,
560,2.056520,
561,1.872490,
562,1.706247,
563,1.559253,
564,1.429392,
565,1.314096,
566,1.215632,
567,1.109496,
568,1.010818,
569,0.930308,
570,0.862057,
571,0.801777,
572,0.732984,
573,0.669266,
574,0.610635,
575,0.564816,
576,0.523887,
577,0.480491,
578,0.435447,
579,0.394537,
580,0.353842,
581,0.313300,
582,0.283848,
583,0.256001,
584,0.233150,
585,0.212992,
586,0.192196,
587,0.177502,
588,0.167579,
589,0.158744,
590,0.149821,
591,0.132700,
592,0.117389,
593,0.108355,
594,0.108777,
595,0.112856,
596,0.114646,
597,0.116582,
598,0.123245,
599,0.136397,
600,0.147779,
601,0.163551,
602,0.178597,
603,0.195997,
604,0.220190,
605,0.253386,
606,0.296495,
607,0.344584,
608,0.409139,
609,0.477200,
610,0.546908,
611,0.641835,
612,0.750314,
613,0.891335,
614,1.051711,
615,1.208186,
616,1.400217,
617,1.604040,
618,1.818653,
619,2.036645,
620,2.270716,
621,2.530241,
622,2.792248,
623,3.130701,
624,3.523417,
625,4.000573,
626,4.547350,
627,5.044819,
628,5.540197,
629,5.859327,
630,5.889634,
631,5.591941,
632,5.058318,
633,4.261610,
634,3.399590,
