機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,21:58:18
照度E(lx),197.74
燭光E(fc),18.37
相關色溫(K),18883
黑體偏離Duv,-0.08988
CIE x,0.3179
CIE y,0.1963
CIE u,0.2694
CIE v,0.2495
CIE u',0.2694
CIE v',0.3743
色容差,65.14
顯色指數Ra,-94.4
R1,-100
R2,-100
R3,-36
R4,-82
R5,-100
R6,-100
R7,8
R8,-100
R9,-100
R10,-100
R11,-100
R12,-100
R13,-100
R14,39
R15,-100
輻照度Ee(mW/c㎡),0.119
明暗視覺比S/P,4.313
主波長(nm),559.10
色純度(%),46.1
半寬度(nm),12.9
峰值波長(nm),629.8
中心波長(nm),628.3
質心波長(nm),540.0
紅色比(%),51.3
綠色比(%),26.0
藍色比(%),22.7
CIE1931 X,468.840
CIE1931 Y,289.522
CIE1931 Z,716.513
TLCI-2012,10
積分時間(ms),160.00
峰值信號,53552
暗信號,2204
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000086,
429,0.001831,
430,0.001875,
431,0.006198,
432,0.007594,
433,0.012035,
434,0.023157,
435,0.040378,
436,0.068982,
437,0.098148,
438,0.132150,
439,0.177476,
440,0.233165,
441,0.305727,
442,0.388913,
443,0.487948,
444,0.605124,
445,0.750408,
446,0.928409,
447,1.140926,
448,1.397184,
449,1.694801,
450,2.028468,
451,2.464453,
452,2.919235,
453,3.452175,
454,4.045353,
455,4.745553,
456,5.565665,
457,6.514648,
458,7.624204,
459,8.909441,
460,10.396720,
461,12.095191,
462,14.022328,
463,16.164330,
464,18.482525,
465,20.837307,
466,23.144001,
467,25.256659,
468,26.945398,
469,27.815451,
470,28.030930,
471,27.599070,
472,26.794357,
473,25.492468,
474,23.521875,
475,21.473375,
476,19.380726,
477,17.458908,
478,15.779099,
479,14.372324,
480,13.216442,
481,12.209400,
482,11.329462,
483,10.530331,
484,9.790332,
485,9.089026,
486,8.393380,
487,7.693022,
488,6.999565,
489,6.314876,
490,5.659551,
491,5.046989,
492,4.472627,
493,3.956139,
494,3.500967,
495,3.104959,
496,2.760803,
497,2.466220,
498,2.222842,
499,2.015168,
500,1.844482,
501,1.695101,
502,1.570563,
503,1.463522,
504,1.373755,
505,1.296754,
506,1.242412,
507,1.192834,
508,1.153912,
509,1.127672,
510,1.123847,
511,1.143817,
512,1.188649,
513,1.246547,
514,1.319411,
515,1.412244,
516,1.527657,
517,1.662121,
518,1.807638,
519,1.970933,
520,2.139889,
521,2.308824,
522,2.463774,
523,2.604999,
524,2.735955,
525,2.844022,
526,2.913775,
527,2.945612,
528,2.942266,
529,2.916999,
530,2.848791,
531,2.752305,
532,2.629742,
533,2.492447,
534,2.336776,
535,2.175224,
536,2.020541,
537,1.884643,
538,1.743670,
539,1.606953,
540,1.470189,
541,1.356586,
542,1.258871,
543,1.167642,
544,1.089767,
545,1.013441,
546,0.946807,
547,0.888515,
548,0.826446,
549,0.770765,
550,0.713913,
551,0.660344,
552,0.611903,
553,0.559273,
554,0.511113,
555,0.466493,
556,0.421239,
557,0.382001,
558,0.349046,
559,0.313982,
560,0.281988,
561,0.248155,
562,0.222857,
563,0.203478,
564,0.190562,
565,0.180594,
566,0.164574,
567,0.143649,
568,0.124989,
569,0.113696,
570,0.106531,
571,0.104764,
572,0.094769,
573,0.087124,
574,0.078312,
575,0.071482,
576,0.070043,
577,0.067665,
578,0.061267,
579,0.052980,
580,0.046539,
581,0.038007,
582,0.040933,
583,0.047337,
584,0.053924,
585,0.055221,
586,0.054561,
587,0.058217,
588,0.068942,
589,0.081927,
590,0.097349,
591,0.105531,
592,0.115391,
593,0.137207,
594,0.170687,
595,0.216809,
596,0.260983,
597,0.322148,
598,0.396868,
599,0.495237,
600,0.607141,
601,0.737173,
602,0.881861,
603,1.028385,
604,1.222638,
605,1.454614,
606,1.732648,
607,2.045890,
608,2.417578,
609,2.834827,
610,3.263365,
611,3.814083,
612,4.441456,
613,5.185181,
614,6.036633,
615,6.885403,
616,7.920886,
617,9.030075,
618,10.193385,
619,11.408974,
620,12.673653,
621,14.014201,
622,15.334812,
623,17.046803,
624,19.071833,
625,21.478609,
626,24.219463,
627,26.779772,
628,29.221811,
629,30.589233,
630,30.585138,
631,29.117105,
632,26.645714,
633,22.895594,
