機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,21:57:50
照度E(lx),221.37
燭光E(fc),20.57
相關色溫(K),7160
黑體偏離Duv,0.08334
CIE x,0.2656
CIE y,0.4876
CIE u,0.1277
CIE v,0.3516
CIE u',0.1277
CIE v',0.5275
色容差,100.00
顯色指數Ra,60.7
R1,52
R2,55
R3,79
R4,55
R5,56
R6,49
R7,66
R8,75
R9,65
R10,12
R11,34
R12,15
R13,40
R14,89
R15,60
輻照度Ee(mW/c㎡),0.057
明暗視覺比S/P,2.589
主波長(nm),525.40
色純度(%),31.4
半寬度(nm),25.5
峰值波長(nm),527.7
中心波長(nm),529.1
質心波長(nm),538.0
紅色比(%),10.6
綠色比(%),85.1
藍色比(%),4.3
CIE1931 X,176.549
CIE1931 Y,324.110
CIE1931 Z,163.990
TLCI-2012,29
積分時間(ms),400.00
峰值信號,56412
暗信號,2605
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.001875,
381,0.001574,
382,0.000264,
383,0.000208,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000009,
422,0.000009,
423,0.000009,
424,0.000004,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.001029,
430,0.001029,
431,0.001029,
432,0.000258,
433,0.000000,
434,0.000945,
435,0.003947,
436,0.006178,
437,0.009962,
438,0.016853,
439,0.028899,
440,0.043485,
441,0.062646,
442,0.075683,
443,0.092565,
444,0.107872,
445,0.131248,
446,0.163374,
447,0.198398,
448,0.257811,
449,0.328284,
450,0.394338,
451,0.472845,
452,0.543705,
453,0.649432,
454,0.769581,
455,0.911084,
456,1.078905,
457,1.277697,
458,1.511245,
459,1.787596,
460,2.112329,
461,2.482841,
462,2.901586,
463,3.365223,
464,3.866396,
465,4.377933,
466,4.875010,
467,5.320445,
468,5.677342,
469,5.885915,
470,5.959008,
471,5.871589,
472,5.676135,
473,5.357390,
474,4.909484,
475,4.460870,
476,4.019058,
477,3.616518,
478,3.274091,
479,2.979045,
480,2.732463,
481,2.516557,
482,2.335143,
483,2.177656,
484,2.037712,
485,1.911945,
486,1.784415,
487,1.655356,
488,1.520947,
489,1.394019,
490,1.282367,
491,1.183006,
492,1.095627,
493,1.019190,
494,0.959248,
495,0.915744,
496,0.890459,
497,0.884513,
498,0.895413,
499,0.924392,
500,0.964719,
501,1.025831,
502,1.103053,
503,1.195164,
504,1.310198,
505,1.443709,
506,1.589711,
507,1.773720,
508,1.990917,
509,2.248578,
510,2.549831,
511,2.895066,
512,3.282254,
513,3.721461,
514,4.218478,
515,4.765765,
516,5.367727,
517,5.998678,
518,6.661840,
519,7.340599,
520,8.026336,
521,8.697421,
522,9.336818,
523,9.932764,
524,10.451816,
525,10.860228,
526,11.113096,
527,11.219379,
528,11.173669,
529,11.056108,
530,10.806337,
531,10.478696,
532,10.114302,
533,9.709249,
534,9.257358,
535,8.772017,
536,8.224730,
537,7.682145,
538,7.171086,
539,6.693100,
540,6.259359,
541,5.851747,
542,5.493299,
543,5.173333,
544,4.922174,
545,4.655411,
546,4.402547,
547,4.162330,
548,3.937148,
549,3.721201,
550,3.506576,
551,3.290472,
552,3.071533,
553,2.856488,
554,2.647227,
555,2.470240,
556,2.277887,
557,2.096580,
558,1.925974,
559,1.762941,
560,1.608987,
561,1.462731,
562,1.332273,
563,1.218182,
564,1.122116,
565,1.034832,
566,0.959072,
567,0.876817,
568,0.799056,
569,0.732508,
570,0.675755,
571,0.628251,
572,0.578718,
573,0.534386,
574,0.492105,
575,0.458514,
576,0.426402,
577,0.390647,
578,0.352251,
579,0.318696,
580,0.289378,
581,0.260768,
582,0.241108,
583,0.223255,
