機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,22:01:19
照度E(lx),223.79
燭光E(fc),20.79
相關色溫(K),7106
黑體偏離Duv,0.10441
CIE x,0.2525
CIE y,0.5545
CIE u,0.1104
CIE v,0.3636
CIE u',0.1104
CIE v',0.5455
色容差,100.00
顯色指數Ra,47.1
R1,28
R2,43
R3,80
R4,26
R5,31
R6,33
R7,71
R8,64
R9,-28
R10,-10
R11,5
R12,-6
R13,19
R14,90
R15,35
輻照度Ee(mW/c㎡),0.052
明暗視覺比S/P,2.466
主波長(nm),531.00
色純度(%),47.3
半寬度(nm),25.3
峰值波長(nm),527.7
中心波長(nm),529.0
質心波長(nm),537.6
紅色比(%),7.6
綠色比(%),89.5
藍色比(%),3.0
CIE1931 X,149.162
CIE1931 Y,327.652
CIE1931 Z,114.042
TLCI-2012,35
積分時間(ms),310.00
峰值信號,45569
暗信號,2465
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.001258,
381,0.001054,
382,0.000171,
383,0.000135,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000703,
403,0.000686,
404,0.000681,
405,0.000170,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000044,
428,0.000364,
429,0.001878,
430,0.001879,
431,0.001706,
432,0.000271,
433,0.000000,
434,0.000681,
435,0.003006,
436,0.003171,
437,0.004046,
438,0.005048,
439,0.011398,
440,0.020080,
441,0.035604,
442,0.047022,
443,0.059366,
444,0.067811,
445,0.078619,
446,0.099665,
447,0.120068,
448,0.162608,
449,0.212304,
450,0.250489,
451,0.291766,
452,0.321283,
453,0.382406,
454,0.454781,
455,0.544138,
456,0.646316,
457,0.771470,
458,0.920827,
459,1.103722,
460,1.317644,
461,1.563733,
462,1.843042,
463,2.157223,
464,2.500008,
465,2.852130,
466,3.192629,
467,3.501589,
468,3.747862,
469,3.891079,
470,3.943436,
471,3.890221,
472,3.757609,
473,3.542640,
474,3.230295,
475,2.926727,
476,2.630265,
477,2.360414,
478,2.127269,
479,1.929355,
480,1.761380,
481,1.621599,
482,1.501428,
483,1.400463,
484,1.307341,
485,1.223700,
486,1.144055,
487,1.067770,
488,0.987698,
489,0.912898,
490,0.844283,
491,0.787260,
492,0.742783,
493,0.707232,
494,0.682588,
495,0.672950,
496,0.673000,
497,0.686185,
498,0.713149,
499,0.754253,
500,0.811322,
501,0.889553,
502,0.981392,
503,1.089342,
504,1.215696,
505,1.360150,
506,1.516212,
507,1.718119,
508,1.956819,
509,2.236100,
510,2.551593,
511,2.911745,
512,3.318403,
513,3.777174,
514,4.290007,
515,4.848495,
516,5.468715,
517,6.133452,
518,6.829614,
519,7.533648,
520,8.237587,
521,8.918755,
522,9.575144,
523,10.167128,
524,10.689913,
525,11.104379,
526,11.387866,
527,11.539712,
528,11.542101,
529,11.467031,
530,11.254654,
531,10.953131,
532,10.565783,
533,10.098915,
534,9.569963,
535,9.014779,
536,8.439651,
537,7.880575,
538,7.356863,
539,6.865345,
540,6.418749,
541,5.999127,
542,5.630460,
543,5.297589,
544,5.033921,
545,4.756167,
546,4.495107,
547,4.251694,
548,4.017004,
549,3.793055,
550,3.570049,
551,3.345449,
552,3.122406,
553,2.900330,
554,2.685752,
555,2.502702,
556,2.302302,
557,2.115538,
558,1.939196,
559,1.771081,
560,1.611205,
561,1.461882,
562,1.329751,
563,1.213417,
564,1.113875,
565,1.028154,
566,0.952466,
567,0.870433,
568,0.792479,
569,0.726235,
570,0.671004,
571,0.626470,
572,0.577720,
573,0.532961,
574,0.485503,
575,0.447167,
576,0.412899,
577,0.379380,
578,0.343824,
579,0.312243,
580,0.284000,
581,0.255800,
582,0.238251,
583,0.219452,
584,0.203569,
585,0.187009,
586,0.170224,
587,0.162318,
588,0.160569,
589,0.158127,
590,0.153132,
591,0.138964,
592,0.125768,
593,0.120505,
594,0.118422,
595,0.121229,
596,0.120466,
597,0.121771,
