機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,21:58:31
照度E(lx),149.10
燭光E(fc),13.85
相關色溫(K),11703
黑體偏離Duv,-0.05443
CIE x,0.3054
CIE y,0.2283
CIE u,0.2382
CIE v,0.2671
CIE u',0.2382
CIE v',0.4006
色容差,46.88
顯色指數Ra,-36.9
R1,-83
R2,-37
R3,42
R4,-38
R5,-56
R6,-47
R7,27
R8,-100
R9,-100
R10,-100
R11,-50
R12,-76
R13,-83
R14,69
R15,-100
輻照度Ee(mW/c㎡),0.077
明暗視覺比S/P,3.978
主波長(nm),564.20
色純度(%),40.1
半寬度(nm),12.9
峰值波長(nm),629.8
中心波長(nm),628.3
質心波長(nm),538.0
紅色比(%),40.2
綠色比(%),41.2
藍色比(%),18.5
CIE1931 X,292.008
CIE1931 Y,218.308
CIE1931 Z,445.855
TLCI-2012,16
積分時間(ms),260.00
峰值信號,52123
暗信號,2354
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000266,
430,0.000266,
431,0.001126,
432,0.003058,
433,0.007913,
434,0.013824,
435,0.025696,
436,0.039263,
437,0.059522,
438,0.082356,
439,0.113112,
440,0.146935,
441,0.190471,
442,0.240300,
443,0.305010,
444,0.379529,
445,0.470076,
446,0.577779,
447,0.704819,
448,0.868478,
449,1.061891,
450,1.274402,
451,1.535056,
452,1.802380,
453,2.123729,
454,2.490338,
455,2.928859,
456,3.436884,
457,4.033629,
458,4.730548,
459,5.544331,
460,6.480670,
461,7.545238,
462,8.749104,
463,10.094577,
464,11.540509,
465,13.007431,
466,14.425985,
467,15.723459,
468,16.747786,
469,17.251179,
470,17.331305,
471,17.021013,
472,16.496920,
473,15.665335,
474,14.431214,
475,13.144537,
476,11.855499,
477,10.682181,
478,9.656027,
479,8.794889,
480,8.086463,
481,7.466163,
482,6.926094,
483,6.434457,
484,5.979630,
485,5.552899,
486,5.123311,
487,4.695468,
488,4.274189,
489,3.860401,
490,3.466963,
491,3.093996,
492,2.748619,
493,2.437053,
494,2.163062,
495,1.928087,
496,1.728164,
497,1.563621,
498,1.428703,
499,1.314351,
500,1.219558,
501,1.144137,
502,1.085855,
503,1.038034,
504,1.000286,
505,0.974324,
506,0.966954,
507,0.971747,
508,0.985439,
509,1.010902,
510,1.052631,
511,1.114927,
512,1.204036,
513,1.311273,
514,1.439113,
515,1.584151,
516,1.749996,
517,1.940212,
518,2.142567,
519,2.351167,
520,2.563003,
521,2.769191,
522,2.969404,
523,3.147500,
524,3.301362,
525,3.423911,
526,3.510728,
527,3.559557,
528,3.571248,
529,3.551309,
530,3.483096,
531,3.375674,
532,3.233396,
533,3.074540,
534,2.902352,
535,2.722715,
536,2.541501,
537,2.365696,
538,2.189613,
539,2.025621,
540,1.866313,
541,1.734810,
542,1.619641,
543,1.514447,
544,1.428045,
545,1.334331,
546,1.249167,
547,1.171264,
548,1.097443,
549,1.028912,
550,0.960042,
551,0.887078,
552,0.819498,
553,0.753028,
554,0.693041,
555,0.642992,
556,0.590405,
557,0.544252,
558,0.496836,
559,0.445866,
560,0.397544,
561,0.351858,
562,0.317980,
563,0.290178,
564,0.271144,
565,0.254937,
566,0.230349,
567,0.202124,
568,0.175407,
569,0.161153,
570,0.153410,
571,0.149482,
572,0.134667,
573,0.124787,
574,0.111876,
575,0.103728,
576,0.098254,
577,0.091184,
578,0.079702,
579,0.069689,
580,0.060706,
581,0.050899,
582,0.051308,
583,0.056067,
584,0.060054,
585,0.060409,
586,0.055587,
587,0.056673,
588,0.062876,
589,0.072242,
590,0.082450,
591,0.083867,
592,0.086379,
593,0.094975,
594,0.111753,
595,0.137525,
596,0.164285,
597,0.200115,
598,0.248926,
599,0.306393,
600,0.366521,
601,0.437129,
602,0.513537,
603,0.597632,
604,0.706938,
605,0.839810,
606,0.998765,
607,1.182053,
608,1.400071,
609,1.640891,
610,1.889906,
611,2.212513,
612,2.585213,
613,3.025718,
614,3.524370,
615,4.028250,
616,4.650075,
617,5.324979,
618,6.034048,
619,6.767841,
620,7.524874,
621,8.331603,
622,9.121009,
623,10.142800,
624,11.348918,
625,12.786318,
626,14.428689,
627,15.950543,
628,17.399084,
629,18.231735,
630,18.283648,
631,17.382711,
632,15.875778,
633,13.504651,
