機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,22:02:09
照度E(lx),191.51
燭光E(fc),17.79
相關色溫(K),33276
黑體偏離Duv,-0.09550
CIE x,0.3175
CIE y,0.1893
CIE u,0.2739
CIE v,0.2450
CIE u',0.2739
CIE v',0.3675
色容差,68.25
顯色指數Ra,-104.5
R1,-100
R2,-100
R3,-55
R4,-89
R5,-100
R6,-100
R7,1
R8,-100
R9,-100
R10,-100
R11,-100
R12,-100
R13,-100
R14,30
R15,-100
輻照度Ee(mW/c㎡),0.119
明暗視覺比S/P,4.419
主波長(nm),559.00
色純度(%),48.3
半寬度(nm),12.9
峰值波長(nm),629.8
中心波長(nm),628.3
質心波長(nm),539.6
紅色比(%),53.0
綠色比(%),23.3
藍色比(%),23.7
CIE1931 X,470.201
CIE1931 Y,280.390
CIE1931 Z,730.467
TLCI-2012,8
積分時間(ms),160.00
峰值信號,53270
暗信號,2194
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000093,
430,0.000093,
431,0.001130,
432,0.003879,
433,0.010571,
434,0.025462,
435,0.049697,
436,0.085764,
437,0.124280,
438,0.166619,
439,0.213637,
440,0.269461,
441,0.338917,
442,0.421210,
443,0.523267,
444,0.644637,
445,0.794044,
446,0.973158,
447,1.182632,
448,1.436977,
449,1.735911,
450,2.078197,
451,2.520499,
452,2.984048,
453,3.514589,
454,4.120094,
455,4.830496,
456,5.662660,
457,6.626965,
458,7.746699,
459,9.056116,
460,10.571413,
461,12.293480,
462,14.246778,
463,16.417933,
464,18.753994,
465,21.117220,
466,23.410177,
467,25.503458,
468,27.172556,
469,28.018631,
470,28.183222,
471,27.710125,
472,26.880796,
473,25.556307,
474,23.582457,
475,21.497448,
476,19.393850,
477,17.473930,
478,15.803298,
479,14.402510,
480,13.241547,
481,12.221409,
482,11.336372,
483,10.530620,
484,9.788937,
485,9.093311,
486,8.398862,
487,7.705174,
488,7.012933,
489,6.324551,
490,5.661601,
491,5.044954,
492,4.473287,
493,3.955596,
494,3.497890,
495,3.089983,
496,2.745792,
497,2.452634,
498,2.212132,
499,2.005512,
500,1.830205,
501,1.681509,
502,1.557337,
503,1.447200,
504,1.354470,
505,1.269938,
506,1.210779,
507,1.150014,
508,1.100093,
509,1.067046,
510,1.054206,
511,1.058154,
512,1.080369,
513,1.116102,
514,1.171306,
515,1.242505,
516,1.332159,
517,1.439876,
518,1.562366,
519,1.699230,
520,1.836990,
521,1.969660,
522,2.092619,
523,2.207737,
524,2.305458,
525,2.390331,
526,2.448175,
527,2.473737,
528,2.471570,
529,2.445167,
530,2.384923,
531,2.304042,
532,2.196337,
533,2.076349,
534,1.948421,
535,1.812743,
536,1.684963,
537,1.563901,
538,1.441622,
539,1.326603,
540,1.211170,
541,1.117931,
542,1.035693,
543,0.965095,
544,0.907066,
545,0.843155,
546,0.787831,
547,0.735939,
548,0.686537,
549,0.645109,
550,0.598009,
551,0.556600,
552,0.515677,
553,0.473357,
554,0.434433,
555,0.398555,
556,0.364118,
557,0.334496,
558,0.309087,
559,0.278668,
560,0.249088,
561,0.217205,
562,0.193896,
563,0.176302,
564,0.166887,
565,0.160302,
566,0.147590,
567,0.130679,
568,0.114903,
569,0.103414,
570,0.100038,
571,0.100116,
572,0.089644,
573,0.082756,
574,0.072540,
575,0.066776,
576,0.066715,
577,0.061262,
578,0.052103,
579,0.046366,
580,0.042222,
581,0.036805,
582,0.036424,
583,0.039103,
584,0.046207,
585,0.052457,
586,0.054509,
587,0.058438,
588,0.068810,
589,0.082360,
590,0.101294,
591,0.109245,
592,0.120685,
593,0.139662,
594,0.172026,
595,0.219470,
596,0.270426,
597,0.337914,
598,0.422354,
599,0.517651,
600,0.622482,
601,0.742913,
602,0.880854,
603,1.030209,
604,1.219269,
605,1.447744,
606,1.715641,
607,2.028200,
608,2.395069,
609,2.810748,
610,3.235460,
611,3.790065,
612,4.422388,
613,5.162293,
614,6.004870,
615,6.849377,
616,7.886967,
617,8.995538,
618,10.177193,
619,11.408323,
620,12.689711,
621,14.038418,
622,15.355649,
623,17.061277,
624,19.057888,
625,21.440882,
626,24.162704,
627,26.707924,
628,29.117346,
629,30.446243,
630,30.447964,
631,28.918608,
632,26.406754,
633,22.549620,
