機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,21:58:03
照度E(lx),91.99
燭光E(fc),8.55
相關色溫(K),6423
黑體偏離Duv,-0.01650
CIE x,0.3182
CIE y,0.2983
CIE u,0.2141
CIE v,0.3012
CIE u',0.2141
CIE v',0.4517
色容差,20.88
顯色指數Ra,16.3
R1,-16
R2,31
R3,79
R4,12
R5,8
R6,22
R7,45
R8,-50
R9,-100
R10,-32
R11,5
R12,13
R13,-9
R14,79
R15,-35
輻照度Ee(mW/c㎡),0.038
明暗視覺比S/P,3.184
主波長(nm),380.00
色純度(%),10.4
半寬度(nm),12.7
峰值波長(nm),629.8
中心波長(nm),628.4
質心波長(nm),544.3
紅色比(%),31.7
綠色比(%),56.6
藍色比(%),11.7
CIE1931 X,143.645
CIE1931 Y,134.683
CIE1931 Z,173.135
TLCI-2012,21
積分時間(ms),540.00
峰值信號,53028
暗信號,2863
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.004055,
381,0.003469,
382,0.000479,
383,0.000320,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000076,
427,0.000341,
428,0.000525,
429,0.002638,
430,0.002424,
431,0.003154,
432,0.001743,
433,0.001276,
434,0.001863,
435,0.004673,
436,0.009369,
437,0.015112,
438,0.021025,
439,0.030184,
440,0.043029,
441,0.064762,
442,0.086211,
443,0.110588,
444,0.131344,
445,0.157218,
446,0.192035,
447,0.236038,
448,0.306216,
449,0.389600,
450,0.469153,
451,0.562158,
452,0.651580,
453,0.775562,
454,0.917117,
455,1.081027,
456,1.271788,
457,1.499070,
458,1.764571,
459,2.079497,
460,2.438404,
461,2.851154,
462,3.315126,
463,3.834164,
464,4.394518,
465,4.966586,
466,5.524476,
467,6.031650,
468,6.437954,
469,6.671393,
470,6.755231,
471,6.656502,
472,6.442862,
473,6.091646,
474,5.594632,
475,5.091474,
476,4.588704,
477,4.127629,
478,3.730183,
479,3.389995,
480,3.105427,
481,2.858058,
482,2.647385,
483,2.461703,
484,2.291973,
485,2.136220,
486,1.979822,
487,1.817868,
488,1.650272,
489,1.488830,
490,1.341900,
491,1.206868,
492,1.081858,
493,0.966441,
494,0.866365,
495,0.780701,
496,0.708107,
497,0.651247,
498,0.606702,
499,0.574421,
500,0.548089,
501,0.536030,
502,0.530694,
503,0.528308,
504,0.533307,
505,0.545608,
506,0.568011,
507,0.598708,
508,0.639457,
509,0.690639,
510,0.759592,
511,0.840812,
512,0.937892,
513,1.045180,
514,1.167765,
515,1.302718,
516,1.453941,
517,1.625062,
518,1.805042,
519,1.993405,
520,2.177128,
521,2.355124,
522,2.523523,
523,2.675003,
524,2.810685,
525,2.918763,
526,2.996795,
527,3.039642,
528,3.052754,
529,3.035828,
530,2.974280,
531,2.885273,
532,2.769753,
533,2.642920,
534,2.496362,
535,2.341109,
536,2.188098,
537,2.044923,
538,1.900902,
539,1.763141,
540,1.630878,
541,1.520494,
542,1.420752,
543,1.331006,
544,1.258625,
545,1.183933,
546,1.117765,
547,1.054654,
548,0.991560,
549,0.933367,
550,0.873458,
551,0.810430,
552,0.752462,
553,0.691379,
554,0.637077,
555,0.589097,
556,0.537684,
557,0.495238,
558,0.452491,
559,0.408693,
560,0.367563,
561,0.327253,
562,0.296920,
563,0.270060,
564,0.250135,
565,0.234283,
566,0.213124,
567,0.188142,
568,0.165589,
569,0.151931,
570,0.144549,
571,0.139336,
572,0.124943,
573,0.113925,
574,0.102065,
575,0.094745,
576,0.092644,
577,0.086374,
578,0.073824,
579,0.062854,
580,0.054623,
581,0.045952,
582,0.045171,
583,0.045618,
584,0.046275,
585,0.043977,
586,0.038088,
587,0.037929,
588,0.043100,
589,0.048169,
590,0.053976,
591,0.051398,
592,0.050593,
593,0.055673,
594,0.064902,
595,0.076951,
596,0.087961,
597,0.101742,
598,0.122858,
599,0.151075,
600,0.180827,
601,0.217968,
602,0.257508,
603,0.296754,
604,0.346287,
605,0.409705,
606,0.487465,
607,0.576657,
608,0.684588,
609,0.803153,
610,0.925655,
611,1.089582,
612,1.277528,
613,1.500194,
614,1.745960,
615,1.985494,
616,2.280132,
617,2.596672,
618,2.929967,
619,3.274076,
620,3.633536,
621,4.021422,
622,4.408771,
623,4.915586,
624,5.510708,
625,6.220512,
626,7.025854,
627,7.773106,
628,8.473603,
629,8.860838,
630,8.862577,
631,8.420947,
632,7.692410,
633,6.566428,
634,5.286391,
635,4.093115,
636,3.105505,
637,2.424090,
638,1.850888,
639,1.422702,
640,1.101202,
641,0.867257,
642,0.707206,
643,0.555436,
644,0.427091,
645,0.311173,
646,0.230976,
647,0.180369,
648,0.133207,
649,0.096906,
650,0.071496,
651,0.057509,
652,0.051276,
653,0.038276,
654,0.023856,
655,0.015714,
656,0.013323,
657,0.013571,
658,0.013626,
659,0.010730,
660,0.009446,
661,0.007851,
662,0.004637,
663,0.005866,
664,0.006890,
665,0.006273,
666,0.003384,
667,0.000943,
668,0.000000,
669,0.000020,
670,0.000153,
671,0.002291,
672,0.002319,
673,0.002294,
674,0.000845,
675,0.000000,
676,0.000000,
677,0.000000,
678,0.000000,
679,0.000000,
680,0.000000,
681,0.000000,
682,0.000000,
683,0.000000,
684,0.000000,
685,0.000000,
686,0.000093,
687,0.000094,
688,0.000095,
689,0.000048,
690,0.000000,
691,0.000000,
692,0.000000,
693,0.000000,
694,0.000000,
695,0.000000,
696,0.000000,
697,0.000000,
