機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,22:01:33
照度E(lx),86.06
燭光E(fc),8.00
相關色溫(K),6591
黑體偏離Duv,0.02569
CIE x,0.3052
CIE y,0.3689
CIE u,0.1791
CIE v,0.3247
CIE u',0.1791
CIE v',0.4871
色容差,26.63
顯色指數Ra,58.1
R1,47
R2,77
R3,74
R4,63
R5,70
R6,74
R7,55
R8,6
R9,-100
R10,62
R11,66
R12,69
R13,52
R14,80
R15,31
輻照度Ee(mW/c㎡),0.029
明暗視覺比S/P,2.859
主波長(nm),509.40
色純度(%),8.7
半寬度(nm),12.9
峰值波長(nm),629.1
中心波長(nm),628.3
質心波長(nm),543.7
紅色比(%),22.6
綠色比(%),69.4
藍色比(%),8.0
CIE1931 X,104.252
CIE1931 Y,126.007
CIE1931 Z,111.328
TLCI-2012,23
積分時間(ms),830.00
峰值信號,54638
暗信號,3331
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.008199,
381,0.008481,
382,0.003787,
383,0.003315,
384,0.000934,
385,0.000889,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000589,
395,0.000795,
396,0.001050,
397,0.000633,
398,0.000385,
399,0.000453,
400,0.000377,
401,0.000370,
402,0.001208,
403,0.001299,
404,0.001290,
405,0.000509,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000101,
427,0.000505,
428,0.000678,
429,0.002439,
430,0.002171,
431,0.002277,
432,0.001032,
433,0.000541,
434,0.000883,
435,0.002119,
436,0.002565,
437,0.003486,
438,0.004515,
439,0.008456,
440,0.017035,
441,0.033059,
442,0.045246,
443,0.060764,
444,0.069568,
445,0.084303,
446,0.105144,
447,0.130175,
448,0.175755,
449,0.226587,
450,0.278462,
451,0.339424,
452,0.398493,
453,0.479602,
454,0.570747,
455,0.676616,
456,0.798958,
457,0.940286,
458,1.106759,
459,1.304715,
460,1.532082,
461,1.790871,
462,2.080296,
463,2.406484,
464,2.760654,
465,3.125142,
466,3.480293,
467,3.798388,
468,4.052344,
469,4.200491,
470,4.254961,
471,4.195588,
472,4.059040,
473,3.836904,
474,3.521294,
475,3.206132,
476,2.892252,
477,2.606471,
478,2.360268,
479,2.147296,
480,1.968210,
481,1.813079,
482,1.682802,
483,1.567505,
484,1.461167,
485,1.364443,
486,1.267564,
487,1.167809,
488,1.060885,
489,0.959952,
490,0.871619,
491,0.792382,
492,0.718914,
493,0.649054,
494,0.587109,
495,0.537194,
496,0.497307,
497,0.470528,
498,0.452960,
499,0.443899,
500,0.437477,
501,0.441254,
502,0.451583,
503,0.465578,
504,0.491265,
505,0.522466,
506,0.562625,
507,0.612186,
508,0.672012,
509,0.742338,
510,0.831782,
511,0.933051,
512,1.053183,
513,1.185922,
514,1.331902,
515,1.492431,
516,1.668378,
517,1.860588,
518,2.062914,
519,2.273857,
520,2.484850,
521,2.694947,
522,2.887661,
523,3.059515,
524,3.207689,
525,3.325478,
526,3.408174,
527,3.455085,
528,3.467343,
529,3.450461,
530,3.384567,
531,3.279709,
532,3.147502,
533,2.999829,
534,2.837577,
535,2.669118,
536,2.498987,
537,2.339438,
538,2.184492,
539,2.036869,
540,1.899070,
541,1.778431,
542,1.667544,
543,1.566223,
544,1.482091,
545,1.395921,
546,1.317740,
547,1.245193,
548,1.174123,
549,1.108291,
550,1.040016,
551,0.968881,
552,0.901769,
553,0.834407,
554,0.775896,
555,0.722950,
556,0.664399,
557,0.610991,
558,0.557914,
559,0.506448,
560,0.458292,
561,0.411504,
562,0.373014,
563,0.340139,
564,0.313371,
565,0.291285,
566,0.265344,
567,0.234795,
568,0.208193,
569,0.190265,
570,0.177976,
571,0.168833,
572,0.151115,
573,0.138702,
574,0.124833,
575,0.113968,
576,0.106251,
577,0.096459,
578,0.084142,
579,0.073110,
580,0.062611,
581,0.050413,
582,0.046464,
583,0.046817,
584,0.048179,
585,0.047343,
586,0.040515,
587,0.037665,
588,0.041378,
589,0.046559,
590,0.052170,
591,0.047532,
592,0.043055,
593,0.044071,
594,0.048135,
595,0.054804,
596,0.061228,
597,0.069007,
598,0.084174,
599,0.104189,
600,0.123725,
601,0.149203,
602,0.172915,
603,0.195794,
604,0.226479,
605,0.270263,
606,0.327499,
607,0.389865,
608,0.465439,
609,0.543272,
610,0.625503,
611,0.735106,
612,0.861032,
613,1.015447,
614,1.181278,
615,1.341030,
616,1.532001,
617,1.736606,
618,1.953323,
619,2.177042,
620,2.416402,
621,2.678148,
622,2.940647,
623,3.278486,
624,3.671203,
625,4.146230,
626,4.695113,
627,5.201677,
628,5.664677,
629,5.899178,
630,5.858898,
631,5.552021,
632,5.062703,
633,4.335279,
634,3.496923,
635,2.706573,
636,2.054754,
637,1.603046,
638,1.224248,
639,0.943689,
640,0.727293,
641,0.572321,
642,0.465380,
643,0.363647,
644,0.276110,
645,0.194430,
646,0.140515,
647,0.107693,
648,0.077620,
649,0.053317,
650,0.036133,
651,0.029563,
652,0.026709,
653,0.020163,
654,0.010056,
655,0.005829,
656,0.005449,
657,0.006232,
658,0.006527,
659,0.004053,
660,0.004337,
661,0.004052,
662,0.003155,
663,0.005714,
664,0.007399,
665,0.007107,
666,0.004177,
667,0.000762,
668,0.000000,
669,0.000000,
670,0.000000,
671,0.000689,
672,0.000693,
673,0.000698,
674,0.000281,
675,0.000000,
676,0.000000,
677,0.000000,
678,0.000000,
679,0.000000,
680,0.000000,
681,0.000166,
682,0.000876,
683,0.000882,
684,0.000888,
685,0.000053,
686,0.001271,
687,0.001438,
688,0.001451,
689,0.000892,
690,0.000000,
691,0.000000,
692,0.000000,
693,0.000000,
694,0.000000,
695,0.000000,
696,0.000000,
697,0.001208,
698,0.001338,
699,0.001499,
700,0.000847,
701,0.000207,
702,0.000156,
703,0.000000,
704,0.000000,
