機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,21:58:43
照度E(lx),99.06
燭光E(fc),9.20
相關色溫(K),7767
黑體偏離Duv,0.05125
CIE x,0.2718
CIE y,0.3938
CIE u,0.1514
CIE v,0.3290
CIE u',0.1514
CIE v',0.4935
色容差,68.23
顯色指數Ra,74.5
R1,82
R2,79
R3,81
R4,77
R5,87
R6,74
R7,64
R8,51
R9,-20
R10,63
R11,70
R12,46
R13,70
R14,88
R15,69
輻照度Ee(mW/c㎡),0.031
明暗視覺比S/P,2.942
主波長(nm),505.10
色純度(%),18.7
半寬度(nm),12.9
峰值波長(nm),629.8
中心波長(nm),628.3
質心波長(nm),536.1
紅色比(%),16.0
綠色比(%),76.4
藍色比(%),7.6
CIE1931 X,100.089
CIE1931 Y,145.030
CIE1931 Z,123.174
TLCI-2012,24
積分時間(ms),970.00
峰值信號,54375
暗信號,3539
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.010356,
381,0.009721,
382,0.004031,
383,0.003472,
384,0.001178,
385,0.001167,
386,0.000091,
387,0.000072,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000226,
396,0.000840,
397,0.000842,
398,0.000831,
399,0.000109,
400,0.000000,
401,0.000000,
402,0.000645,
403,0.000688,
404,0.000683,
405,0.000242,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000407,
422,0.000403,
423,0.000402,
424,0.000160,
425,0.000000,
426,0.000049,
427,0.000645,
428,0.000926,
429,0.002977,
430,0.002701,
431,0.003173,
432,0.001965,
433,0.001348,
434,0.001872,
435,0.003971,
436,0.005166,
437,0.007289,
438,0.008583,
439,0.014877,
440,0.023008,
441,0.037156,
442,0.048433,
443,0.063742,
444,0.078072,
445,0.098127,
446,0.124849,
447,0.157693,
448,0.207472,
449,0.263061,
450,0.318983,
451,0.387686,
452,0.457188,
453,0.546966,
454,0.644524,
455,0.759066,
456,0.891638,
457,1.051730,
458,1.236980,
459,1.453266,
460,1.699888,
461,1.985114,
462,2.305761,
463,2.662734,
464,3.048872,
465,3.440862,
466,3.823412,
467,4.172580,
468,4.444787,
469,4.582192,
470,4.600224,
471,4.508550,
472,4.367078,
473,4.147373,
474,3.825985,
475,3.487207,
476,3.151370,
477,2.846603,
478,2.579081,
479,2.347232,
480,2.151163,
481,1.982312,
482,1.838233,
483,1.712497,
484,1.599617,
485,1.497771,
486,1.394943,
487,1.287531,
488,1.173245,
489,1.063652,
490,0.968093,
491,0.879696,
492,0.801160,
493,0.727638,
494,0.664206,
495,0.614715,
496,0.574923,
497,0.548841,
498,0.530473,
499,0.521375,
500,0.516705,
501,0.526668,
502,0.543547,
503,0.565660,
504,0.598495,
505,0.638017,
506,0.684946,
507,0.746884,
508,0.822085,
509,0.913290,
510,1.022833,
511,1.147525,
512,1.293668,
513,1.457541,
514,1.641600,
515,1.843750,
516,2.067203,
517,2.308592,
518,2.562603,
519,2.825212,
520,3.088786,
521,3.350085,
522,3.594361,
523,3.818299,
524,4.019514,
525,4.182316,
526,4.292883,
527,4.343904,
528,4.331361,
529,4.284075,
530,4.185144,
531,4.060731,
532,3.931095,
533,3.775398,
534,3.594402,
535,3.392370,
536,3.181647,
537,2.973172,
538,2.773125,
539,2.585080,
540,2.413979,
541,2.262885,
542,2.126416,
543,2.000838,
544,1.897339,
545,1.788023,
546,1.688287,
547,1.600471,
548,1.514554,
549,1.434453,
550,1.350412,
551,1.261792,
552,1.176523,
553,1.092073,
554,1.015185,
555,0.948796,
556,0.875694,
557,0.808337,
558,0.741581,
559,0.674343,
560,0.612306,
561,0.551937,
562,0.503950,
563,0.462444,
564,0.428191,
565,0.399290,
566,0.368024,
567,0.331046,
568,0.298043,
569,0.272592,
570,0.253827,
571,0.239608,
572,0.216658,
573,0.197228,
574,0.175516,
575,0.159790,
576,0.148579,
577,0.135248,
578,0.118627,
579,0.103906,
580,0.091362,
581,0.078496,
582,0.073262,
583,0.070343,
584,0.067555,
585,0.060975,
586,0.051416,
587,0.047068,
588,0.049129,
589,0.052214,
590,0.055250,
591,0.049430,
592,0.044321,
593,0.044328,
594,0.048880,
595,0.055297,
596,0.057714,
597,0.061673,
598,0.072498,
599,0.088629,
600,0.104459,
601,0.123193,
602,0.141175,
603,0.158629,
604,0.181374,
605,0.215249,
606,0.260040,
607,0.310387,
608,0.371058,
609,0.435253,
