機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,22:02:48
照度E(lx),83.68
燭光E(fc),7.77
相關色溫(K),8921
黑體偏離Duv,-0.00999
CIE x,0.2927
CIE y,0.2839
CIE u,0.2011
CIE v,0.2926
CIE u',0.2011
CIE v',0.4389
色容差,27.60
顯色指數Ra,23.2
R1,-6
R2,34
R3,77
R4,25
R5,21
R6,31
R7,44
R8,-40
R9,-100
R10,-29
R11,25
R12,28
R13,-1
R14,80
R15,-27
輻照度Ee(mW/c㎡),0.035
明暗視覺比S/P,3.508
主波長(nm),472.50
色純度(%),18.8
半寬度(nm),12.7
峰值波長(nm),629.8
中心波長(nm),628.4
質心波長(nm),537.1
紅色比(%),28.7
綠色比(%),57.8
藍色比(%),13.5
CIE1931 X,126.328
CIE1931 Y,122.516
CIE1931 Z,182.729
TLCI-2012,20
積分時間(ms),670.00
峰值信號,53884
暗信號,2071
補償電平,2954
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.007837,
381,0.007756,
382,0.002694,
383,0.002007,
384,0.000559,
385,0.000532,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000299,
395,0.000521,
396,0.000969,
397,0.000765,
398,0.000564,
399,0.000233,
400,0.000120,
401,0.000117,
402,0.000725,
403,0.000753,
404,0.000748,
405,0.000270,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000038,
412,0.000094,
413,0.000093,
414,0.000093,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000313,
422,0.000309,
423,0.000309,
424,0.000193,
425,0.000116,
426,0.000441,
427,0.001841,
428,0.002759,
429,0.005477,
430,0.004656,
431,0.004536,
432,0.003077,
433,0.003048,
434,0.006683,
435,0.012600,
436,0.018728,
437,0.023930,
438,0.029284,
439,0.040350,
440,0.056474,
441,0.079903,
442,0.099657,
443,0.125421,
444,0.150568,
445,0.184495,
446,0.227896,
447,0.274681,
448,0.344491,
449,0.424596,
450,0.509878,
451,0.615195,
452,0.720260,
453,0.852829,
454,1.002962,
455,1.176869,
456,1.383845,
457,1.624500,
458,1.903553,
459,2.230642,
460,2.609648,
461,3.045530,
462,3.534908,
463,4.081381,
464,4.671170,
465,5.270647,
466,5.853723,
467,6.391506,
468,6.813315,
469,7.024453,
470,7.046247,
471,6.894374,
472,6.670615,
473,6.325613,
474,5.841137,
475,5.322331,
476,4.809683,
477,4.333542,
