機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,21:53:42
照度E(lx),63.49
燭光E(fc),5.90
相關色溫(K),100000
黑體偏離Duv,-0.12911
CIE x,0.3207
CIE y,0.1567
CIE u,0.3026
CIE v,0.2218
CIE u',0.3026
CIE v',0.3327
色容差,84.92
顯色指數Ra,-192.3
R1,-100
R2,-100
R3,-100
R4,-100
R5,-100
R6,-100
R7,-51
R8,-100
R9,-100
R10,-100
R11,-100
R12,-100
R13,-100
R14,-77
R15,-100
輻照度Ee(mW/c㎡),0.047
明暗視覺比S/P,5.071
主波長(nm),557.50
色純度(%),57.2
半寬度(nm),12.7
峰值波長(nm),629.1
中心波長(nm),628.2
質心波長(nm),538.9
紅色比(%),66.5
綠色比(%),3.0
藍色比(%),30.5
CIE1931 X,190.227
CIE1931 Y,92.958
CIE1931 Z,309.980
TLCI-2012,2
積分時間(ms),380.00
峰值信號,54293
暗信號,2581
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.001673,
381,0.001804,
382,0.000840,
383,0.000856,
384,0.000230,
385,0.000219,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000108,
428,0.000226,
429,0.002234,
430,0.002255,
431,0.002350,
432,0.000894,
433,0.000461,
434,0.002674,
435,0.007359,
436,0.015400,
437,0.025167,
438,0.038081,
439,0.056802,
440,0.079139,
441,0.110253,
442,0.144620,
443,0.188023,
444,0.236030,
445,0.296277,
446,0.370202,
447,0.460705,
448,0.581159,
449,0.725142,
450,0.875568,
451,1.063774,
452,1.249123,
453,1.478770,
454,1.737241,
455,2.044527,
456,2.402200,
457,2.821278,
458,3.310735,
459,3.884349,
460,4.549984,
461,5.303551,
462,6.158933,
463,7.109199,
464,8.141179,
465,9.187502,
466,10.217247,
467,11.169764,
468,11.907062,
469,12.267180,
470,12.289223,
471,12.022948,
472,11.648023,
473,11.067700,
474,10.244053,
475,9.339080,
476,8.424106,
477,7.578662,
478,6.844576,
479,6.227156,
480,5.720168,
481,5.278075,
482,4.888774,
483,4.533932,
484,4.210614,
485,3.913082,
486,3.615201,
487,3.310755,
488,3.003786,
489,2.700755,
490,2.414001,
491,2.140055,
492,1.884007,
493,1.650900,
494,1.445177,
495,1.265381,
496,1.109710,
497,0.982064,
498,0.872277,
499,0.775200,
500,0.687903,
501,0.614428,
502,0.550722,
503,0.487488,
504,0.431185,
505,0.377947,
506,0.338330,
507,0.295703,
508,0.255280,
509,0.219240,
510,0.191878,
511,0.165187,
512,0.146400,
513,0.124814,
514,0.103171,
515,0.084353,
516,0.064654,
517,0.054709,
518,0.042511,
519,0.036727,
520,0.029667,
521,0.027480,
522,0.021076,
523,0.015035,
524,0.009330,
525,0.005338,
526,0.004265,
527,0.003226,
528,0.013896,
529,0.019935,
530,0.020217,
531,0.015763,
532,0.002303,
533,0.000796,
534,0.000697,
535,0.000759,
536,0.005162,
537,0.012157,
538,0.011786,
539,0.010769,
540,0.000880,
541,0.000831,
542,0.000828,
543,0.000826,
544,0.000169,
545,0.000000,
546,0.000000,
547,0.000000,
548,0.000000,
549,0.000000,
550,0.000000,
551,0.000000,
552,0.000000,
553,0.000000,
554,0.000000,
555,0.000000,
556,0.000000,
557,0.000000,
558,0.000000,
559,0.000000,
560,0.000000,
