機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,21:53:58
照度E(lx),128.86
燭光E(fc),11.97
相關色溫(K),1001
黑體偏離Duv,-0.04135
CIE x,0.5811
CIE y,0.2570
CIE u,0.4723
CIE v,0.3133
CIE u',0.4723
CIE v',0.4699
色容差,100.00
顯色指數Ra,-1.4
R1,91
R2,26
R3,-63
R4,34
R5,53
R6,-80
R7,-35
R8,-38
R9,-90
R10,-59
R11,72
R12,-100
R13,63
R14,17
R15,45
輻照度Ee(mW/c㎡),0.068
明暗視覺比S/P,0.973
主波長(nm),699.10
色純度(%),75.9
半寬度(nm),12.7
峰值波長(nm),629.8
中心波長(nm),628.2
質心波長(nm),603.5
紅色比(%),93.3
綠色比(%),1.1
藍色比(%),5.6
CIE1931 X,426.636
CIE1931 Y,188.663
CIE1931 Z,118.873
TLCI-2012,1
積分時間(ms),130.00
峰值信號,51767
暗信號,2158
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.002225,
442,0.004376,
443,0.013718,
444,0.025669,
445,0.044703,
446,0.066060,
447,0.089810,
448,0.137290,
449,0.196350,
450,0.246856,
451,0.300974,
452,0.345906,
453,0.424030,
454,0.516537,
455,0.625392,
456,0.757197,
457,0.919332,
458,1.115340,
459,1.352230,
460,1.629728,
461,1.963091,
462,2.344605,
463,2.775012,
464,3.241582,
465,3.717879,
466,4.185706,
467,4.607683,
468,4.944574,
469,5.139842,
470,5.203008,
471,5.113556,
472,4.916237,
473,4.615447,
474,4.191721,
475,3.774703,
476,3.354269,
477,2.971575,
478,2.641159,
479,2.362666,
480,2.131497,
481,1.936600,
482,1.771596,
483,1.628020,
484,1.494675,
485,1.375354,
486,1.253112,
487,1.131858,
488,1.001771,
489,0.874308,
490,0.760457,
491,0.655680,
492,0.565836,
493,0.484249,
494,0.412251,
495,0.351209,
496,0.299578,
497,0.262163,
498,0.226115,
499,0.195797,
500,0.164290,
501,0.143630,
502,0.129280,
503,0.110173,
504,0.094472,
505,0.076538,
506,0.065725,
507,0.055529,
508,0.041541,
509,0.029279,
510,0.021299,
511,0.012728,
512,0.012607,
513,0.006867,
514,0.005552,
515,0.002190,
516,0.000000,
517,0.000000,
518,0.000000,
519,0.000000,
520,0.000000,
521,0.000000,
522,0.000000,
523,0.000000,
524,0.000000,
525,0.000000,
526,0.000000,
527,0.000000,
528,0.005990,
529,0.007128,
530,0.007082,
531,0.004688,
532,0.000000,
533,0.000000,
534,0.000000,
535,0.000000,
536,0.001376,
537,0.002989,
538,0.002972,
539,0.002750,
540,0.000000,
541,0.000000,
542,0.000000,
543,0.000000,
544,0.000000,
545,0.000000,
546,0.000000,
547,0.000000,
548,0.000000,
549,0.000000,
550,0.000000,
551,0.000000,
552,0.000000,
553,0.000000,
554,0.000000,
555,0.000000,
556,0.000000,
557,0.000000,
558,0.000000,
559,0.000000,
560,0.000000,
561,0.000000,
562,0.000000,
563,0.000000,
564,0.000000,
565,0.000000,
566,0.000000,
567,0.000000,
568,0.000000,
569,0.000000,
570,0.000000,
571,0.000000,
572,0.000000,
573,0.000000,
574,0.000000,
575,0.000000,
576,0.000000,
577,0.000000,
578,0.000000,
579,0.000000,
580,0.000000,
581,0.000000,
582,0.000682,
583,0.005129,
584,0.006357,
585,0.007023,
586,0.006843,
587,0.015317,
588,0.029535,
589,0.043949,
590,0.060986,
591,0.069216,
592,0.084564,
593,0.117320,
594,0.162776,
595,0.219663,
596,0.276024,
597,0.349407,
598,0.443793,
599,0.559407,
600,0.690496,
601,0.846019,
602,1.023980,
603,1.207543,
604,1.443949,
605,1.719628,
606,2.040263,
607,2.409613,
608,2.846123,
609,3.348516,
610,3.866544,
611,4.537569,
612,5.311425,
613,6.211151,
614,7.231737,
615,8.238727,
616,9.482598,
617,10.819883,
618,12.233853,
619,13.700837,
620,15.210241,
621,16.823942,
622,18.413391,
623,20.490269,
624,22.950472,
625,25.861174,
626,29.149576,
627,32.144230,
628,34.918343,
629,36.415314,
630,36.303558,
631,34.302235,
632,31.160166,
633,26.377907,
634,21.158030,
