機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,21:46:55
照度E(lx),136.54
燭光E(fc),12.68
相關色溫(K),1001
黑體偏離Duv,-0.03940
CIE x,0.5872
CIE y,0.2596
CIE u,0.4755
CIE v,0.3152
CIE u',0.4755
CIE v',0.4729
色容差,100.00
顯色指數Ra,0.8
R1,89
R2,31
R3,-58
R4,32
R5,59
R6,-72
R7,-34
R8,-40
R9,-98
R10,-50
R11,69
R12,-100
R13,68
R14,19
R15,41
輻照度Ee(mW/c㎡),0.071
明暗視覺比S/P,0.916
主波長(nm),699.10
色純度(%),77.4
半寬度(nm),12.9
峰值波長(nm),629.1
中心波長(nm),628.3
質心波長(nm),604.8
紅色比(%),93.6
綠色比(%),1.1
藍色比(%),5.3
CIE1931 X,452.285
CIE1931 Y,199.909
CIE1931 Z,118.013
TLCI-2012,1
積分時間(ms),130.00
峰值信號,54594
暗信號,2067
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000812,
441,0.005909,
442,0.007014,
443,0.013891,
444,0.021718,
445,0.038177,
446,0.061148,
447,0.085172,
448,0.133609,
449,0.193150,
450,0.245760,
451,0.303261,
452,0.351436,
453,0.427872,
454,0.517096,
455,0.624951,
456,0.756993,
457,0.917632,
458,1.109427,
459,1.341731,
460,1.619318,
461,1.945881,
462,2.325880,
463,2.754267,
464,3.222701,
465,3.695920,
466,4.153688,
467,4.567954,
468,4.899922,
469,5.095403,
470,5.155595,
471,5.066697,
472,4.874077,
473,4.574553,
474,4.155069,
475,3.739195,
476,3.326729,
477,2.953530,
478,2.631195,
479,2.355364,
480,2.127183,
481,1.928506,
482,1.756860,
483,1.610104,
484,1.472254,
485,1.352445,
486,1.234628,
487,1.115260,
488,0.989285,
489,0.869614,
490,0.763434,
491,0.665468,
492,0.574675,
493,0.487410,
494,0.411716,
495,0.353771,
496,0.304380,
497,0.265756,
498,0.226923,
499,0.196127,
500,0.165985,
501,0.148862,
502,0.130171,
503,0.107392,
504,0.090934,
505,0.073726,
506,0.066875,
507,0.058547,
508,0.047583,
509,0.035562,
510,0.027875,
511,0.019271,
512,0.019749,
513,0.017220,
514,0.012568,
515,0.009307,
516,0.001621,
517,0.001115,
518,0.000143,
519,0.000000,
520,0.000000,
521,0.000025,
522,0.000042,
523,0.000042,
524,0.000031,
525,0.000000,
526,0.000000,
527,0.000000,
528,0.008641,
529,0.010628,
530,0.010559,
531,0.007274,
532,0.000000,
533,0.000000,
534,0.000000,
535,0.000000,
536,0.002335,
537,0.005175,
538,0.005145,
539,0.004729,
540,0.000072,
541,0.000000,
542,0.000000,
543,0.000000,
544,0.000000,
545,0.000000,
546,0.000000,
547,0.000000,
548,0.000000,
549,0.000000,
550,0.000000,
551,0.000000,
552,0.000000,
553,0.000000,
554,0.000000,
555,0.000000,
556,0.000000,
557,0.000000,
558,0.000000,
559,0.000000,
560,0.000000,
561,0.000000,
562,0.000000,
563,0.000000,
564,0.000000,
565,0.000000,
566,0.000000,
567,0.000000,
568,0.000000,
569,0.000000,
570,0.000000,
571,0.000000,
572,0.000000,
573,0.000000,
574,0.000000,
575,0.000000,
576,0.000000,
577,0.000000,
578,0.000000,
579,0.000000,
580,0.000000,
581,0.000000,
582,0.000157,
583,0.002691,
584,0.002869,
585,0.002887,
586,0.001410,
587,0.010770,
588,0.026448,
589,0.044770,
590,0.064513,
591,0.075078,
592,0.098954,
593,0.136331,
594,0.184296,
595,0.241351,
596,0.304129,
597,0.387455,
598,0.493035,
599,0.616337,
600,0.757592,
601,0.922431,
602,1.110892,
603,1.300001,
604,1.549855,
605,1.844392,
606,2.198648,
607,2.604435,
608,3.078198,
609,3.615523,
610,4.167143,
611,4.877930,
612,5.695054,
613,6.646902,
614,7.726856,
615,8.796578,
616,10.107915,
617,11.520299,
618,13.013320,
619,14.557677,
620,16.154024,
621,17.851528,
622,19.530571,
623,21.719826,
624,24.310890,
625,27.377466,
626,30.887846,
627,34.132790,
628,37.082939,
629,38.559448,
630,38.206070,
631,36.082809,
632,32.817524,
633,28.041885,
634,22.579641,
