機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,21:47:12
照度E(lx),106.84
燭光E(fc),9.93
相關色溫(K),1001
黑體偏離Duv,-0.04618
CIE x,0.5648
CIE y,0.2510
CIE u,0.4627
CIE v,0.3085
CIE u',0.4627
CIE v',0.4627
色容差,100.00
顯色指數Ra,-7.0
R1,86
R2,14
R3,-72
R4,46
R5,35
R6,-100
R7,-36
R8,-28
R9,-64
R10,-83
R11,82
R12,-100
R13,48
R14,14
R15,58
輻照度Ee(mW/c㎡),0.057
明暗視覺比S/P,1.134
主波長(nm),496.30
色純度(%),73.5
半寬度(nm),12.9
峰值波長(nm),629.8
中心波長(nm),628.3
質心波長(nm),600.1
紅色比(%),92.1
綠色比(%),1.3
藍色比(%),6.6
CIE1931 X,351.946
CIE1931 Y,156.421
CIE1931 Z,114.806
TLCI-2012,1
積分時間(ms),170.00
峰值信號,54714
暗信號,2121
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000252,
441,0.006026,
442,0.010921,
443,0.021515,
444,0.035097,
445,0.054089,
446,0.079042,
447,0.103873,
448,0.149820,
449,0.208912,
450,0.256190,
451,0.309158,
452,0.353159,
453,0.428930,
454,0.520477,
455,0.624549,
456,0.752832,
457,0.907589,
458,1.098981,
459,1.335015,
460,1.612081,
461,1.927844,
462,2.283715,
463,2.689040,
464,3.126089,
465,3.574911,
466,4.010018,
467,4.398654,
468,4.708361,
469,4.885251,
470,4.941717,
471,4.863019,
472,4.675665,
473,4.378614,
474,3.974095,
475,3.583120,
476,3.197768,
477,2.845619,
478,2.539603,
479,2.283144,
480,2.067731,
481,1.880306,
482,1.716030,
483,1.577814,
484,1.450707,
485,1.339052,
486,1.221418,
487,1.104643,
488,0.980228,
489,0.865780,
490,0.761590,
491,0.662761,
492,0.576355,
493,0.493513,
494,0.424789,
495,0.366647,
496,0.316333,
497,0.276714,
498,0.240526,
499,0.213381,
500,0.182396,
501,0.162821,
502,0.144419,
503,0.124896,
504,0.111228,
505,0.093202,
506,0.084198,
507,0.075091,
508,0.064656,
509,0.053428,
510,0.045686,
511,0.038398,
512,0.039030,
513,0.038520,
514,0.031390,
515,0.025720,
516,0.015126,
517,0.011168,
518,0.005557,
519,0.005916,
520,0.004091,
521,0.005521,
522,0.005284,
523,0.004223,
524,0.005090,
525,0.003071,
526,0.002754,
527,0.001827,
528,0.012955,
529,0.018706,
530,0.020399,
531,0.016050,
532,0.002998,
533,0.000316,
534,0.000014,
535,0.000067,
536,0.003263,
537,0.007850,
538,0.007753,
539,0.007202,
540,0.000347,
541,0.000000,
542,0.000000,
543,0.000000,
544,0.000000,
545,0.000000,
546,0.000000,
547,0.000000,
548,0.000000,
549,0.000000,
550,0.000000,
551,0.000000,
552,0.000000,
553,0.000000,
554,0.000000,
555,0.000000,
556,0.000000,
557,0.000000,
558,0.000000,
559,0.000000,
560,0.000000,
561,0.000000,
562,0.000000,
563,0.000000,
564,0.000000,
565,0.000000,
566,0.000000,
567,0.000000,
568,0.000000,
569,0.000000,
570,0.000000,
571,0.000000,
572,0.000000,
573,0.000000,
574,0.000000,
575,0.000000,
576,0.000000,
577,0.000000,
578,0.000000,
579,0.000000,
580,0.000000,
581,0.000000,
582,0.000114,
583,0.001394,
584,0.001400,
585,0.001409,
586,0.001070,
587,0.006139,
588,0.015488,
589,0.030231,
590,0.050430,
591,0.061202,
592,0.079278,
593,0.105686,
594,0.141869,
595,0.188124,
596,0.236221,
597,0.304193,
598,0.387700,
599,0.485340,
600,0.591043,
601,0.722503,
602,0.871752,
603,1.025837,
604,1.217830,
605,1.443108,
606,1.713748,
607,2.022087,
608,2.395754,
609,2.812160,
610,3.241679,
611,3.795033,
612,4.415533,
613,5.143005,
614,5.962279,
615,6.771832,
616,7.759155,
617,8.806892,
618,9.906981,
619,11.052722,
620,12.254497,
621,13.547494,
622,14.840565,
623,16.536739,
624,18.551661,
625,20.923416,
626,23.615107,
627,26.087908,
628,28.359688,
629,29.565842,
630,29.408623,
631,27.928387,
632,25.529818,
633,21.945148,
634,17.780973,
