機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,21:48:29
照度E(lx),53.09
燭光E(fc),4.93
相關色溫(K),100000
黑體偏離Duv,-0.02856
CIE x,0.1762
CIE y,0.1014
CIE u,0.1824
CIE v,0.1575
CIE u',0.1824
CIE v',0.2362
色容差,97.65
顯色指數Ra,-76.9
R1,-45
R2,-100
R3,-100
R4,-21
R5,-9
R6,-100
R7,-52
R8,-44
R9,-100
R10,-100
R11,-2
R12,-100
R13,-87
R14,-54
R15,-80
輻照度Ee(mW/c㎡),0.055
明暗視覺比S/P,10.796
主波長(nm),465.30
色純度(%),79.2
半寬度(nm),17.5
峰值波長(nm),469.6
中心波長(nm),470.4
質心波長(nm),493.0
紅色比(%),28.5
綠色比(%),6.5
藍色比(%),65.0
CIE1931 X,135.020
CIE1931 Y,77.734
CIE1931 Z,553.502
TLCI-2012,2
積分時間(ms),220.00
峰值信號,54700
暗信號,2279
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000297,
381,0.000220,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000239,
428,0.000296,
429,0.001593,
430,0.001506,
431,0.003479,
432,0.006878,
433,0.013850,
434,0.024236,
435,0.039645,
436,0.062779,
437,0.091445,
438,0.123300,
439,0.159493,
440,0.197609,
441,0.246488,
442,0.306362,
443,0.386697,
444,0.479335,
445,0.595474,
446,0.730693,
447,0.893097,
448,1.099996,
449,1.339292,
450,1.604393,
451,1.936957,
452,2.283913,
453,2.695742,
454,3.167746,
455,3.723004,
456,4.365506,
457,5.112419,
458,5.978145,
459,6.992835,
460,8.168643,
461,9.501713,
462,11.016934,
463,12.699857,
464,14.515683,
465,16.356071,
466,18.163300,
467,19.833841,
468,21.110640,
469,21.729368,
470,21.756308,
471,21.218269,
472,20.534048,
473,19.492584,
474,18.065632,
475,16.503365,
476,14.886436,
477,13.422164,
478,12.143390,
479,11.070839,
480,10.180196,
481,9.393731,
482,8.706511,
483,8.079477,
484,7.503022,
485,6.958530,
486,6.428460,
487,5.897449,
488,5.369971,
489,4.833685,
490,4.315857,
491,3.825606,
492,3.377698,
493,2.976804,
494,2.623584,
495,2.308847,
496,2.030133,
497,1.790715,
498,1.587833,
499,1.415065,
500,1.264978,
501,1.137669,
502,1.024692,
503,0.916829,
504,0.819698,
505,0.731430,
506,0.662426,
507,0.588028,
508,0.517224,
509,0.451231,
510,0.397856,
511,0.348389,
512,0.308268,
513,0.271490,
514,0.235791,
515,0.206169,
516,0.175157,
517,0.153815,
518,0.131783,
519,0.115873,
520,0.102642,
521,0.093304,
522,0.084437,
523,0.072672,
524,0.062039,
525,0.050773,
526,0.044202,
527,0.040328,
528,0.048046,
529,0.052266,
530,0.050864,
531,0.042413,
532,0.027787,
533,0.020437,
