機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,21:54:30
照度E(lx),37.98
燭光E(fc),3.53
相關色溫(K),1831
黑體偏離Duv,-0.12676
CIE x,0.3509
CIE y,0.1677
CIE u,0.3257
CIE v,0.2334
CIE u',0.3257
CIE v',0.3501
色容差,93.96
顯色指數Ra,-130.6
R1,-83
R2,-100
R3,-100
R4,48
R5,-100
R6,-100
R7,-70
R8,59
R9,-100
R10,-100
R11,11
R12,-100
R13,-100
R14,-88
R15,-61
輻照度Ee(mW/c㎡),0.027
明暗視覺比S/P,4.357
主波長(nm),549.00
色純度(%),45.3
半寬度(nm),12.7
峰值波長(nm),629.8
中心波長(nm),628.4
質心波長(nm),547.7
紅色比(%),71.6
綠色比(%),2.2
藍色比(%),26.2
CIE1931 X,116.367
CIE1931 Y,55.604
CIE1931 Z,159.609
TLCI-2012,1
積分時間(ms),590.00
峰值信號,54304
暗信號,2904
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.002287,
381,0.002122,
382,0.000620,
383,0.000488,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000054,
429,0.001370,
430,0.001371,
431,0.001371,
432,0.000290,
433,0.000000,
434,0.000060,
435,0.000342,
436,0.000382,
437,0.000580,
438,0.001830,
439,0.006975,
440,0.018102,
441,0.038593,
442,0.055943,
443,0.077668,
444,0.097072,
445,0.125135,
446,0.163084,
447,0.206127,
448,0.273278,
449,0.349658,
450,0.426683,
451,0.518260,
452,0.607388,
453,0.725843,
454,0.863456,
455,1.024164,
456,1.211665,
457,1.432351,
458,1.684379,
459,1.987134,
460,2.336208,
461,2.734402,
462,3.182380,
463,3.680974,
464,4.221906,
465,4.774434,
466,5.305791,
467,5.781269,
468,6.162484,
469,6.381022,
470,6.452538,
471,6.352653,
472,6.136410,
473,5.791440,
474,5.307319,
475,4.827827,
476,4.353762,
477,3.923657,
478,3.550231,
479,3.228773,
480,2.960689,
481,2.723225,
482,2.513773,
483,2.327982,
484,2.160778,
485,2.013164,
486,1.865056,
487,1.707513,
488,1.537550,
489,1.372623,
490,1.223151,
491,1.083585,
492,0.953020,
493,0.829098,
494,0.719356,
495,0.624453,
496,0.542752,
497,0.475578,
498,0.417082,
499,0.366458,
500,0.318945,
501,0.285031,
502,0.255853,
503,0.225352,
504,0.197386,
505,0.168787,
506,0.150379,
507,0.130606,
508,0.111659,
509,0.093983,
510,0.080528,
511,0.067777,
512,0.060244,
513,0.049819,
514,0.038473,
515,0.028123,
516,0.016173,
517,0.011505,
518,0.004573,
519,0.002602,
520,0.000251,
521,0.000241,
522,0.000179,
523,0.000179,
524,0.000134,
525,0.000000,
526,0.000000,
527,0.000000,
528,0.011001,
529,0.014996,
530,0.015614,
531,0.011708,
532,0.001097,
533,0.000133,
534,0.000000,
535,0.000000,
536,0.003541,
537,0.008213,
538,0.008166,
539,0.007457,
540,0.000603,
541,0.001467,
542,0.001462,
543,0.001459,
544,0.000374,
545,0.000000,
546,0.000000,
547,0.000000,
548,0.000000,
549,0.000000,
550,0.000000,
551,0.000000,
552,0.000000,
553,0.000000,
554,0.000000,
555,0.000000,
556,0.000000,
557,0.000000,
558,0.000000,
559,0.000000,
560,0.000000,
561,0.000000,
562,0.000000,
563,0.000000,
564,0.000000,
565,0.000052,
566,0.000069,
567,0.000069,
568,0.000052,
569,0.000000,
570,0.000314,
571,0.001383,
572,0.001404,
573,0.001332,
574,0.000153,
575,0.000000,
576,0.000000,
577,0.000000,
578,0.000000,
579,0.000000,
580,0.000000,
581,0.000000,
582,0.000036,
583,0.001054,
584,0.001210,
585,0.001217,
586,0.000462,
587,0.001439,
588,0.003035,
589,0.004973,
590,0.009070,
591,0.008314,
592,0.007887,
593,0.010429,
594,0.016272,
595,0.023807,
