機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-05
測試時間,21:47:34
照度E(lx),39.27
燭光E(fc),3.65
相關色溫(K),1734
黑體偏離Duv,-0.12137
CIE x,0.3624
CIE y,0.1737
CIE u,0.3325
CIE v,0.2391
CIE u',0.3325
CIE v',0.3586
色容差,94.08
顯色指數Ra,-120.4
R1,-72
R2,-100
R3,-100
R4,50
R5,-100
R6,-100
R7,-67
R8,62
R9,-80
R10,-100
R11,8
R12,-100
R13,-100
R14,-80
R15,-46
輻照度Ee(mW/c㎡),0.027
明暗視覺比S/P,4.084
主波長(nm),544.40
色純度(%),40.4
半寬度(nm),12.9
峰值波長(nm),629.8
中心波長(nm),628.3
質心波長(nm),550.9
紅色比(%),72.5
綠色比(%),3.1
藍色比(%),24.4
CIE1931 X,119.959
CIE1931 Y,57.499
CIE1931 Z,153.575
TLCI-2012,1
積分時間(ms),570.00
峰值信號,54428
暗信號,2811
補償電平,2968
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.004539,
381,0.004586,
382,0.001902,
383,0.001650,
384,0.000218,
385,0.000207,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000219,
403,0.000229,
404,0.000228,
405,0.000076,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000037,
429,0.001152,
430,0.001153,
431,0.001152,
432,0.000252,
433,0.000000,
434,0.000178,
435,0.001975,
436,0.002735,
437,0.003795,
438,0.007190,
439,0.014202,
440,0.025100,
441,0.043124,
442,0.057275,
443,0.077161,
444,0.094395,
445,0.120917,
446,0.157926,
447,0.198312,
448,0.263963,
449,0.338845,
450,0.414469,
451,0.502679,
452,0.585567,
453,0.701038,
454,0.830633,
455,0.985353,
456,1.163756,
457,1.374406,
458,1.621825,
459,1.912020,
460,2.249934,
461,2.637332,
462,3.065027,
463,3.544720,
464,4.059611,
465,4.584942,
466,5.096282,
467,5.555659,
468,5.923640,
469,6.134387,
470,6.199717,
471,6.101811,
472,5.897917,
473,5.566156,
474,5.103026,
475,4.639121,
476,4.183724,
477,3.767846,
478,3.404711,
479,3.093181,
480,2.831889,
481,2.608254,
482,2.414884,
483,2.243262,
484,2.081488,
485,1.928128,
486,1.780071,
487,1.628210,
488,1.472324,
489,1.318081,
490,1.171194,
491,1.034835,
492,0.909709,
493,0.795099,
494,0.693134,
495,0.605622,
496,0.526802,
497,0.461318,
498,0.404673,
499,0.357923,
500,0.315415,
501,0.284082,
502,0.253586,
503,0.222161,
504,0.197341,
505,0.173534,
506,0.159403,
507,0.141247,
508,0.123202,
509,0.107459,
510,0.098272,
511,0.088663,
512,0.082442,
513,0.073114,
514,0.063939,
515,0.056555,
516,0.046717,
517,0.042887,
518,0.037410,
519,0.038792,
520,0.038340,
521,0.038622,
522,0.034831,
523,0.029490,
524,0.026293,
525,0.021348,
526,0.019922,
527,0.019405,
528,0.031406,
529,0.038170,
530,0.038637,
531,0.031257,
532,0.017538,
533,0.012798,
534,0.010726,
535,0.009252,
536,0.011677,
537,0.018280,
538,0.016569,
539,0.012683,
540,0.002512,
541,0.003785,
542,0.003514,
543,0.003506,
544,0.000922,
545,0.000000,
546,0.000000,
547,0.000000,
548,0.000000,
549,0.000045,
550,0.000076,
551,0.000076,
552,0.000058,
553,0.000000,
554,0.000000,
555,0.000000,
556,0.000000,
557,0.000012,
558,0.000012,
559,0.000012,
560,0.000005,
561,0.000000,
562,0.000000,
563,0.000028,
564,0.000544,
565,0.002311,
566,0.002357,
567,0.002254,
568,0.000645,
569,0.000000,
570,0.000218,
571,0.000746,
572,0.000745,
573,0.000684,
574,0.000044,
575,0.000000,
576,0.000000,
577,0.000000,
578,0.000000,
579,0.000000,
580,0.000000,
581,0.000000,
582,0.000000,
583,0.000320,
584,0.000321,
585,0.000323,
586,0.000092,
587,0.002580,
588,0.003159,
589,0.004614,
590,0.009819,
591,0.009391,
592,0.011967,
593,0.017850,
594,0.026188,
595,0.036941,
596,0.047497,
597,0.061995,
598,0.084515,
599,0.115212,
600,0.147709,
601,0.186156,
602,0.223686,
603,0.263604,
604,0.315850,
605,0.385441,
606,0.467229,
607,0.556170,
608,0.661508,
609,0.781391,
610,0.909470,
611,1.076732,
612,1.264159,
613,1.480361,
614,1.721680,
615,1.956215,
616,2.243313,
617,2.547006,
618,2.863980,
619,3.189431,
620,3.536629,
621,3.914621,
622,4.299187,
623,4.799419,
624,5.385888,
625,6.082684,
626,6.873405,
627,7.603515,
628,8.279202,
629,8.641841,
630,8.617223,
631,8.201716,
632,7.511939,
633,6.463411,
634,5.235898,
635,4.070832,
636,3.097511,
637,2.419772,
638,1.847440,
639,1.413273,
640,1.087733,
641,0.848098,
642,0.688590,
643,0.537045,
644,0.410832,
645,0.294677,
646,0.213111,
647,0.160448,
648,0.113660,
649,0.078840,
650,0.055363,
651,0.042873,
652,0.035175,
653,0.025085,
654,0.012786,
655,0.006562,
656,0.005054,
657,0.004918,
658,0.005773,
659,0.003071,
660,0.003052,
661,0.002021,
662,0.000682,
663,0.000538,
664,0.001007,
665,0.001011,
666,0.000758,
667,0.000203,
668,0.000000,
669,0.000000,
670,0.000000,
671,0.000512,
672,0.000515,
673,0.000519,
674,0.000209,
675,0.000000,
676,0.000000,
677,0.000000,
678,0.000000,
679,0.000000,
680,0.000000,
681,0.000000,
682,0.000000,
683,0.000000,
684,0.000000,
685,0.000000,
686,0.000498,
687,0.000772,
688,0.000779,
689,0.000658,
690,0.000007,
691,0.000000,
692,0.000000,
693,0.000000,
694,0.000000,
695,0.000000,
696,0.000000,
697,0.000264,
698,0.000267,
699,0.000269,
700,0.000110,
701,0.000000,
702,0.000000,
703,0.000000,
704,0.000000,
705,0.000000,
706,0.000000,
707,0.000000,
708,0.000000,
709,0.000000,
710,0.000000,
711,0.000000,
712,0.000000,
713,0.000000,
714,0.000000,
715,0.000000,
716,0.000000,
717,0.000000,
718,0.000000,
719,0.000000,
720,0.000000,
721,0.000000,
722,0.000000,
723,0.000000,
724,0.000000,
725,0.000000,
726,0.000000,
727,0.000000,
728,0.000000,
729,0.000000,
730,0.000000,
731,0.000000,
732,0.000000,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000000,
737,0.000000,
738,0.000000,
739,0.000000,
740,0.000000,
741,0.000000,
742,0.000000,
743,0.000000,
744,0.000000,
745,0.000000,
746,0.000000,
747,0.000000,
748,0.000000,
749,0.000000,
750,0.000000,
751,0.000169,
752,0.004156,
753,0.004206,
754,0.004259,
755,0.001585,
756,0.000000,
757,0.000000,
758,0.000000,
759,0.000000,
760,0.000000,
761,0.000000,
762,0.000000,
763,0.000000,
764,0.000204,
765,0.000344,
766,0.000348,
767,0.000282,
768,0.000000,
769,0.000000,
770,0.022611,
771,0.027021,
772,0.026914,
773,0.015246,
774,0.000000,
775,0.000000,
776,0.000000,
777,0.000000,
778,0.000000,
779,0.000000,
780,0.000000,
